Age,Avg Monthly GB Download,Avg Monthly Long Distance Charges,City,CLTV,Customer ID,Dependents,Device Protection Plan,Gender,Internet Service,Internet Type,Lat Long,Latitude,Longitude,Married,Monthly Charge,Multiple Lines,Number of Dependents,Number of Referrals,Offer,Online Backup,Online Security,Paperless Billing,Partner,Payment Method,Phone Service,Population,Premium Tech Support,Referred a Friend,Senior Citizen,Streaming Movies,Streaming Music,Streaming TV,Tenure in Months,Total Charges,Total Extra Data Charges,Total Long Distance Charges,Total Refunds,Total Revenue,Under 30,Unlimited Data,Zip Code,Churn
1.5271716473518724,-0.8220919095334569,-0.2156421749876805,853,4849,1911,0,1,0,1,2,985,37.538309,-122.305109,1,0.7851469828777553,0,0,1,5,1,0,0,1,0,1,37926,0,1,1,1,1,0,-0.31204215761450155,-0.05060281604609456,-0.27589934128678345,-0.3143617856008851,-0.25006192683205564,-0.13474166089479928,0,1,94403,0
-1.162681512182467,1.8787932520364148,1.481254246467772,955,3715,2274,0,1,1,1,2,1248,38.432145,-120.77069,0,1.022426845490116,1,0,0,5,0,0,0,0,0,1,4610,1,0,0,0,0,1,0.09416258601418606,0.48966698666369785,-0.27589934128678345,0.9849934973555656,-0.25006192683205564,0.6757175117406232,1,1,95685,0
0.7501029568197298,-1.018519921283993,-0.43407383810093025,867,5092,2351,0,0,1,0,3,862,37.007882,-122.065975,1,-1.51412830553498,0,0,3,5,0,0,0,1,0,1,4563,0,1,0,0,0,0,0.5409878040057424,-0.6405824600222867,-0.27589934128678345,-0.018131710197776724,-0.25006192683205564,-0.5114929374120029,0,0,95064,0
-1.2822305414951043,0.30736915803212583,-1.475675270216634,109,2068,915,0,1,1,1,1,328,33.924143,-117.79387,1,-0.6368612078484349,0,0,3,5,1,0,1,1,1,0,1408,0,1,0,1,1,0,-0.23080120888876404,-0.46657600060261345,0.9123521540614938,-0.8829101492605907,-0.25006192683205564,-0.6203584659719324,1,0,92823,0
-0.9235834535571924,0.012727140406321634,-0.35953484326999946,843,4026,144,0,1,1,1,0,915,37.311088,-121.961786,1,-0.15394655788384168,0,0,1,1,1,1,0,1,1,1,29914,0,1,0,0,0,0,1.0284334963601676,0.5537746296077881,-0.27589934128678345,0.28549183363810804,-0.25006192683205564,0.5188987320807338,0,1,95117,1
-0.8638089389008737,0.4546901668450279,-0.7017660543198386,937,5351,2579,0,1,1,1,0,1158,38.033219,-121.297433,0,1.2045642048193226,1,0,0,4,0,0,1,0,0,1,40611,0,0,0,1,1,1,-1.2056925935976144,-0.8700887023616203,0.12018449049597567,-0.8410060291241902,-0.25006192683205564,-0.9325919574276659,0,0,95210,1
-0.6247108802755992,-0.6256638977829208,-0.8126022988075705,857,5436,3010,0,0,1,1,2,1121,37.942551,-122.491642,1,0.8135537269933195,0,0,2,5,0,1,1,1,0,1,6448,1,1,0,1,1,0,-0.3526626319773703,-0.04221510589441256,-0.27589934128678345,-0.5956879388784284,-0.25006192683205564,-0.2115077712986756,0,1,94964,0
0.09258329560022464,-0.23280787428184851,-0.8936229453629302,634,5413,3218,0,1,0,1,2,940,37.380662,-122.086022,1,1.1911963252355273,1,0,3,1,1,1,1,1,0,1,32143,0,1,0,0,0,1,1.2315358681745114,1.7212514197753854,-0.27589934128678345,-0.22107773926708896,-0.25006192683205564,1.2880263069997215,0,0,94040,1
1.5271716473518724,-0.3310218801571166,1.4287528674998993,915,5388,1026,0,1,0,1,2,605,34.297628,-119.014627,0,1.5621549836858382,1,0,0,0,1,0,0,0,0,1,2966,1,0,1,1,0,1,1.5971201374403303,2.48213340996551,-0.27589934128678345,2.8914086915677664,-0.25006192683205564,2.809508912822255,0,1,93066,0
0.45123038353813655,-0.42923588603238466,-0.5112054936216326,834,3172,1317,1,0,1,1,1,98,32.957195,-117.202542,0,-0.13222375356017466,1,2,0,5,1,1,0,0,0,1,28201,0,0,0,0,0,0,-1.246313067960483,-0.9561012576440929,-0.27589934128678345,-0.8480953358809348,-0.25006192683205564,-1.0058842999308655,0,1,92130,0
